grupo,produto_clean,ano_safra,producao_t,area_colhida_ha,area_plantada_ha,produtividade_t_ha
Brasil,Algodão herbáceo,2024,8866378.0,2027769.0,2027897.0,4.372
Brasil,Algodão herbáceo,2025,9493294.0,2142191.0,2142637.0,4.432
Brasil,Amendoim (1ª Safra),2024,780032.0,269219.0,273395.0,2.897
Brasil,Amendoim (1ª Safra),2025,1196288.0,323537.0,324015.0,3.698
Brasil,Amendoim (2ª Safra),2024,13800.0,8337.0,8337.0,1.655
Brasil,Amendoim (2ª Safra),2025,39739.0,15993.0,15993.0,2.485
Brasil,Arroz,2024,10591604.0,1573503.0,1621895.0,6.731
Brasil,Arroz,2025,12467535.0,1752531.0,1755325.0,7.114
Brasil,Aveia,2024,1059343.0,513979.0,519454.0,2.061
Brasil,Aveia,2025,1348559.0,570095.0,573601.0,2.365
Brasil,Banana,2024,6995034.0,461153.0,464631.0,15.169
Brasil,Banana,2025,7226544.0,465584.0,473017.0,15.521
Brasil,Batata - inglesa (1ª Safra),2024,1745460.0,58655.0,58676.0,29.758
Brasil,Batata - inglesa (1ª Safra),2025,1969879.0,60646.0,60651.0,32.482
Brasil,Batata - inglesa (2ª Safra),2024,1527003.0,46186.0,46263.0,33.062
Brasil,Batata - inglesa (2ª Safra),2025,1501684.0,44874.0,44874.0,33.464
Brasil,Batata - inglesa (3ª Safra),2024,1235346.0,33389.0,33389.0,36.999
Brasil,Batata - inglesa (3ª Safra),2025,1029756.0,26989.0,26989.0,38.155
Brasil,Cacau,2024,287784.0,632466.0,633699.0,0.455
Brasil,Cacau,2025,293482.0,643895.0,643908.0,0.456
Brasil,Café arábica,2024,2401279.0,1549490.0,1552279.0,1.55
Brasil,Café arábica,2025,2253938.0,1537918.0,1542396.0,1.466
Brasil,Café canephora,2024,1024120.0,405646.0,405793.0,2.525
Brasil,Café canephora,2025,1199913.0,424377.0,424581.0,2.827
Brasil,Cana-de-açúcar,2024,706720425.0,9219524.0,9265181.0,76.655
Brasil,Cana-de-açúcar,2025,695085205.0,9241643.0,9323767.0,75.212
Brasil,Castanha-de-caju,2024,161014.0,450054.0,451424.0,0.358
Brasil,Castanha-de-caju,2025,146747.0,449882.0,452879.0,0.326
Brasil,Centeio,2024,5881.0,3925.0,3925.0,1.498
Brasil,Centeio,2025,8216.0,4835.0,4835.0,1.699
Brasil,"Cereais, leguminosas e oleaginosas",2024,292705861.0,79049440.0,79671988.0,3.703
Brasil,"Cereais, leguminosas e oleaginosas",2025,340451981.0,81215186.0,81643003.0,4.192
Brasil,Cevada,2024,416239.0,117353.0,117353.0,3.547
Brasil,Cevada,2025,549267.0,133491.0,133491.0,4.115
Brasil,Feijão (1ª Safra),2024,894234.0,1250982.0,1307774.0,0.715
Brasil,Feijão (1ª Safra),2025,1066966.0,1192957.0,1306611.0,0.894
Brasil,Feijão (2ª Safra),2024,1395083.0,1193804.0,1215134.0,1.169
Brasil,Feijão (2ª Safra),2025,1251779.0,1080173.0,1089646.0,1.159
Brasil,Feijão (3ª Safra),2024,809844.0,287873.0,298881.0,2.813
Brasil,Feijão (3ª Safra),2025,793413.0,293737.0,293737.0,2.701
Brasil,Fumo,2024,626649.0,329677.0,330953.0,1.901
Brasil,Fumo,2025,790182.0,357384.0,359081.0,2.211
Brasil,Girassol,2024,90258.0,59083.0,59278.0,1.528
Brasil,Girassol,2025,119728.0,62797.0,62797.0,1.907
Brasil,Laranja,2024,12216934.0,524086.0,548365.0,23.311
Brasil,Laranja,2025,12832137.0,527555.0,538489.0,24.324
Brasil,Mamona,2024,31717.0,52565.0,52595.0,0.603
Brasil,Mamona,2025,33621.0,53537.0,53537.0,0.628
Brasil,Mandioca,2024,19059194.0,1231516.0,1258715.0,15.476
Brasil,Mandioca,2025,20237736.0,1260582.0,1298732.0,16.054
Brasil,Milho (1ª Safra),2024,22912466.0,4676634.0,4784800.0,4.899
Brasil,Milho (1ª Safra),2025,26150105.0,4446922.0,4656963.0,5.88
Brasil,Milho (2ª Safra),2024,91790726.0,16674590.0,16726471.0,5.505
Brasil,Milho (2ª Safra),2025,111430928.0,17661570.0,17685687.0,6.309
Brasil,Soja,2024,144946662.0,46036036.0,46328794.0,3.149
Brasil,Soja,2025,165536108.0,47573015.0,47633313.0,3.48
Brasil,Sorgo,2024,3985503.0,1330201.0,1348646.0,2.996
Brasil,Sorgo,2025,4927680.0,1475805.0,1478505.0,3.339
Brasil,Tomate,2024,4666924.0,61686.0,62372.0,75.656
Brasil,Tomate,2025,4471918.0,62317.0,62505.0,71.761
Brasil,Total,2024,,94135419.0,94866630.0,
Brasil,Total,2025,,96402165.0,96978946.0,
Brasil,Trigo,2024,7530249.0,2956080.0,2959755.0,2.547
Brasil,Trigo,2025,7700024.0,2418293.0,2418603.0,3.184
Brasil,Triticale,2024,43729.0,17507.0,17604.0,2.498
Brasil,Triticale,2025,41116.0,13707.0,13707.0,3.0
Brasil,Uva,2024,1763397.0,82451.0,82902.0,21.387
Brasil,Uva,2025,2099459.0,83333.0,84074.0,25.194
